code,belongs_to_administrative_unit,has_ports
AL-1,AL,ESTRF
AL-2,AL,ESUNR; ESALG
AM-1,AM,ESADR
AM-2,AM,ESRQM; ESLEI
AM-3; GR-1,GR,ESAEQ; ESMOT
AM-4,AM,ESCRS
AM-5; CT-1,AM,ESGAR
AT-1,AT,ESGDS; ESTOR
AT-2,AT,ESSPO
AT-3,AT,ESIAM; ESTAB; ESALC
AT-4,AT,ESCAM; ESECP; ESCAL; ESCLP; ESBEM; ESVIL; ESVJY
AT-5,AT,ESALT; ESAQA
AT-6,AT,ESMOR; ESMRA; ESJAV; ESDNA
AV-1; GI-6,AV,ESAVS
AV-2; GI-7,AV,ESJLA; ESCLO; ESOVN; ESSEO
AV-3; GI-8,AV,ESVIZ; ESTCG; ESTPC; ESPVG; ESOGU; ESSTR; ESFGU; ESLUA
BA-1,BA,ESVLG; ESSIT
BA-2,BA,ESMSN; ESCDF; ESLEL; ESBAD; ESBCN; ESVZZ
BA-3,BA,ESZME; ESMTG; ESZJM; ESMTO; ESARN
BA-4; GIR-1; PG-1,PG; GIR,ESBLA; ESMAM; ESLLO
BA-5; GIR-2; PG-2,PG; GIR,ESPAL; ESTKG; ESSFU; ESGLE; ESETT
BA-6; GIR-3; PG-3,PG; GIR,ESROS; ESOOP; ESLLC; ESPSA; ESQAJ
BI-1,BI,ESEEM; ESLEK; ESLEQ
BI-2,BI,ESDAC; ESMKA; ESBRM
BI-3,BI,ESSNR; ESZOD; ESCIV; ESARW; ESBIO
BI-4,BI,ESOND
CA-1,CA,ESCHP
CA-2,CA,ESSFO; ESROT; ESPUS; ESPSM; ESCAD
CA-3,CA,ESZEA; ESBDF
CO-1,CO,ESREE; ESMNO; ESMEO; ESLRC; ESSAD
CO-2,CO,ESAER; ESLCG
CO-3,CO,ESCOX; ESCRE
CO-4,CO,ESMAI; ESMJP; ESLAX; ESCMY; ESCMI; ESIAS
CO-5,CO,ESCCN
CO-6,CO,ESPMA; ESMRS
CO-7,CO,ESNOA
CP-1,CP,ESBRX
CP-2,CP,ESCAS; ESGCS
CP-3,CP,ESPNL; ESBEC; ESBNI; ESVZR
CT-2,CT,ESAGU
CT-3,CT,ESMZO
CT-4,CT,ESCAR
CT-5,CT,ESPPI; ESSPP
CU-1,CU,ESCEU
FE-1,FE,ESSMR; ESCNO
FE-2,FE,ESMGA; ESCIN; ESCED
FE-3,FE,ESPTD; ESMGR; ESBLE; ESFRO
GC-1,GC,ESFRE; ESLRT; ESCFI; ESFNE; ESEAN; ESTAN; ESSCK; ESLPA; ESZIH; ESADA; ESLAH; ESCCM; ESARI; ESAGA
GC-2,GC,ESFUE; ESPRO; ESCUT; ESMHR; ESGTL; ESEEN; ESQFU; ESZRJ
GC-3,GC,ESACE; ESPUC; ESQLY; ESOZL; ESCHR
GI-1,GI,ESNEM; ESBCD; ESLNS
GI-2,GI,ESRBS
GI-3,GI,ESTZN; ESEEL; ESLS3
GI-4,GI,ESADS; ESCA2; ESGIJ
GI-5,GI,ESBNU; ESLCO
HU-1,HU,ESLEP; ESAYA
HU-2,HU,ESICR; ESZGA
HU-3,HU,ESZJY; ESPFT; ESHUV
IB-1,IB,ESIBZ
IB-2,IB,ESSAA
IB-3,IB,ESFNI
LU-1,LU,ESSCI; ESZBE; ESRIB; ESRHR
LU-2,LU,ESBRL
LU-3,LU,ESCEL; ESCIO; ESBQB; ESVIE; ESVIV
MA-1,MA,ESEPN
MA-2,MA,ESMQE
MA-3,MA,ESFGL
MA-4,MA,ESCRQ; ESAGP
MA-5,MA,ESTDM; ESVMG
MH-1; PM-3,PM,ESFRN; ESMAH
MH-2; PM-4,PM,ESQIU
MLL-1,MLL,ESMLN
PM-1,PM,ESSNY; ESPSL; ESSOL; ESPRD; ESPCR; ESCSB; ESCEM; ESAND; ESPMI
PM-2,PM,ESPSA; ESALD
SE-1,SE,ESSBA
SE-2,SE,ESSVQ
SS-1,SS,ESEWE; ESHON; ESOND; ESMTU
SS-2,SS,ESPAS; ESEAS; ESORI; ESZMY
SS-3,SS,ESGET; ESGTI; ESZAU
ST-1,ST,ESCSU; ESCUR
ST-2,ST,ESLDO; ESCOD
ST-3,ST,ESSNN
ST-4,ST,ESSDR; ESSUN
ST-5,ST,ESRQD; ESSUN
ST-6,ST,ESSVB; ESSVI; ESOLL
TA-1,TA,ESPRT; ESPTN; ESSCR; ESCDK
TA-2,TA,ESTAR; ESTRR; ESKLL; ESTOT; ESDEL; ESCBL; ESCFE; ESLAA
TE-1,TE,ESSCT; ESVGE; ESMDT; ESSEM; ESPHD; ESRUZ; ESPAM; ESPSJ; ESLSI; ESABG; ESZBB; ESZFJ; ESGRC; ESPGU; ESZMG; ESMED; ESCEI; ESBVN
TE-2,TE,ESLCR; ESAEM
TE-3,TE,ESSCP; ESSPC; ESMAZ; ESTAZ; ESFHR
TE-4,TE,ESGMR; ESSSG; ESVGR; ESPPS
TE-5,TE,ESLES; ESVDE; ESLRT; ESLAF
VA-1,VA,ESGAN
VA-2,VA,ESVLC; ESQAA; ESCUL; ESERA
VA-3,VA,ESSAG
VI-1,VI,ESZJN; ESSXX; ESCAM; ESCPE; ESCBY; ESRAC
VI-2,VI,ESMPG; ESPEV
VI-3,VI,ESBUE
VI-4,VI,ESCAG; ESRAN; ESCOS; ESSAN; ESPNJ; ESMEI; ESMOA; ESADI
VI-5,VI,ESVGO; ESBZS; ESCAW
VI-6,VI,ESBYN
VI-7,VI,ESAGD; ESTUI
VI-8,VI,ESRED; ESAAE
VILL-1,VILL,ESSNI; ESRBI; ESDAA
VILL-2,VILL,ESLPC; ESPCA; ESCCZ
VILL-3,VILL,ESVIL; ESVEM; ESRIA; ESZJU; ESIAL; ESCR2; ESCIL
VILL-4,VILL,ESEGR
VILL-5,VILL,ESCBD; ESEPT; ESVEN
