label,contains_administrative_unit
Autonomous Region Comunidad Foral de Navarra,
Autonomous Region of Andalucía,Maritimal Province of Algeciras; Maritimal Province of Almería; Maritimal Province of Cádiz; Maritimal Province of Granada; Maritimal Province of Huelva; Maritimal Province of Málaga; Maritimal Province of Sevilla
Autonomous Region of Aragón,
Autonomous Region of Balearic Islands,Maritimal Province of Ibiza; Maritimal Province of Mallorca
Autonomous Region of Canary Islands,Maritimal Province of Las Palmas; Maritimal Province of Tenerife
Autonomous Region of Cantabria,Maritimal Province of Santander
Autonomous Region of Castilla - La Mancha,
Autonomous Region of Castille and Leon,
Autonomous Region of Catalonia,Maritimal Province of Barcelona; Maritimal Province of Palamós; Maritimal Province of Tarragona
Autonomous Region of Comunidad Valenciana,Maritimal Province of Alicante; Maritimal Province of Castellón; Maritimal Province of Valencia
Autonomous Region of Comunidad de Madrid,
Autonomous Region of Extremadura,
Autonomous Region of Galicia,Maritimal Province of La Coruña; Maritimal Province of Ferrol; Maritimal Province of Lugo; Maritimal Province of Vigo; Maritimal Province of Villagarcía
Autonomous Region of La Rioja,
Autonomous Region of Principality of Asturias,Maritimal Province of Avilés; Maritimal Province of Gijón
Autonomous Region of Región de Murcia,Maritimal Province of Cartagena
Autonomous Region of Vasque Country,Maritimal Province of Bilbao; Maritimal Province of San Sebastián
